Alpha , Gamma , Eps , SuccessRate
0.1 , 0.8 , 0.05 , 0.9712
0.9 , 0.1 , 0.05 , 0.8982
0.5 , 0.2 , 0.10 , 0.8782
0.6 , 0.6 , 0.01 , 0.969
0.8 , 0.2 , 0.20 , 0.766
0.9 , 0.7 , 0.10 , 0.6546
0.2 , 0.5 , 0.10 , 0.951
0.1 , 0.5 , 0.05 , 0.9728
0.9 , 0.1 , 0.10 , 0.8458
0.5 , 0.3 , 0.01 , 0.96
0.7 , 0.2 , 0.05 , 0.8952
0.7 , 0.4 , 0.01 , 0.9534
0.3 , 0.1 , 0.01 , 0.9792
0.1 , 0.8 , 0.20 , 0.9068
0.5 , 0.3 , 0.20 , 0.7844
0.7 , 0.4 , 0.10 , 0.8728
0.1 , 0.7 , 0.05 , 0.9706
0.8 , 0.4 , 0.01 , 0.9308
0.6 , 0.7 , 0.05 , 0.9368
0.4 , 0.8 , 0.20 , 0.8662
0.5 , 0.8 , 0.05 , 0.9552
0.9 , 0.4 , 0.20 , 0.6784
0.1 , 0.4 , 0.01 , 0.981
0.4 , 0.2 , 0.05 , 0.94
0.2 , 0.9 , 0.01 , 0.981
0.9 , 0.2 , 0.01 , 0.9294
0.9 , 0.9 , 0.01 , 0.9474
0.3 , 0.9 , 0.01 , 0.977
0.5 , 0.2 , 0.05 , 0.9146
0.3 , 0.4 , 0.01 , 0.9756
0.6 , 0.8 , 0.20 , 0.7794
0.3 , 0.1 , 0.20 , 0.8414
0.5 , 0.5 , 0.20 , 0.8138
0.9 , 0.4 , 0.10 , 0.7776
0.4 , 0.5 , 0.01 , 0.9744
0.1 , 0.1 , 0.20 , 0.9104
0.9 , 0.3 , 0.20 , 0.7204
0.1 , 0.8 , 0.10 , 0.9564
0.1 , 0.9 , 0.20 , 0.9164
0.8 , 0.7 , 0.20 , 0.6702
0.2 , 0.4 , 0.01 , 0.983
0.9 , 0.8 , 0.20 , 0.4978
0.9 , 0.1 , 0.01 , 0.945
0.8 , 0.3 , 0.05 , 0.8826
0.3 , 0.2 , 0.05 , 0.957
0.6 , 0.4 , 0.20 , 0.7996
0.6 , 0.5 , 0.01 , 0.9662
0.6 , 0.1 , 0.05 , 0.9158
0.3 , 0.3 , 0.01 , 0.9792
0.7 , 0.1 , 0.01 , 0.9562
0.1 , 0.6 , 0.20 , 0.9068
0.8 , 0.5 , 0.20 , 0.7304
0.4 , 0.6 , 0.01 , 0.9776
0.1 , 0.9 , 0.01 , 0.9832
0.2 , 0.1 , 0.05 , 0.9692
0.7 , 0.8 , 0.05 , 0.9124
0.6 , 0.4 , 0.05 , 0.9004
0.2 , 0.7 , 0.01 , 0.9794
0.1 , 0.7 , 0.01 , 0.9784
0.8 , 0.5 , 0.05 , 0.8888
0.3 , 0.7 , 0.05 , 0.9662
0.8 , 0.6 , 0.05 , 0.8762
0.7 , 0.4 , 0.20 , 0.7814
0.4 , 0.7 , 0.01 , 0.9802
0.8 , 0.9 , 0.20 , 0.6262
0.1 , 0.2 , 0.05 , 0.9712
0.3 , 0.2 , 0.01 , 0.9776
0.7 , 0.5 , 0.20 , 0.7764
0.1 , 0.4 , 0.05 , 0.972
0.4 , 0.3 , 0.10 , 0.8896
0.7 , 0.3 , 0.05 , 0.9014
0.8 , 0.4 , 0.10 , 0.8428
0.1 , 0.6 , 0.01 , 0.9806
0.2 , 0.4 , 0.10 , 0.95
0.9 , 0.9 , 0.05 , 0.8104
0.1 , 0.3 , 0.20 , 0.9218
0.9 , 0.2 , 0.20 , 0.78
0.5 , 0.6 , 0.05 , 0.9304
0.8 , 0.5 , 0.10 , 0.8288
0.2 , 0.1 , 0.10 , 0.9506
0.3 , 0.5 , 0.10 , 0.9416
0.5 , 0.1 , 0.10 , 0.8824
0.5 , 0.6 , 0.20 , 0.8094
0.3 , 0.9 , 0.05 , 0.961
0.6 , 0.1 , 0.20 , 0.7792
0.3 , 0.4 , 0.05 , 0.9604
0.7 , 0.6 , 0.10 , 0.8606
0.2 , 0.1 , 0.20 , 0.8988
0.6 , 0.6 , 0.05 , 0.9206
0.2 , 0.4 , 0.05 , 0.9638
0.7 , 0.5 , 0.01 , 0.9554
0.8 , 0.2 , 0.01 , 0.942
0.5 , 0.9 , 0.05 , 0.9516
0.7 , 0.9 , 0.05 , 0.9312
0.4 , 0.5 , 0.10 , 0.9148
0.7 , 0.2 , 0.10 , 0.87
0.5 , 0.6 , 0.01 , 0.9696
0.8 , 0.8 , 0.10 , 0.7714
0.2 , 0.9 , 0.20 , 0.9014
0.6 , 0.9 , 0.01 , 0.974
0.1 , 0.5 , 0.01 , 0.9798
0.8 , 0.7 , 0.05 , 0.8616
0.7 , 0.7 , 0.01 , 0.9622
0.3 , 0.6 , 0.01 , 0.9802
0.2 , 0.3 , 0.05 , 0.9712
0.5 , 0.9 , 0.01 , 0.9774
0.4 , 0.4 , 0.20 , 0.82
0.9 , 0.6 , 0.01 , 0.9142
0.4 , 0.1 , 0.10 , 0.8896
0.1 , 0.8 , 0.01 , 0.9792
0.1 , 0.6 , 0.05 , 0.9698
0.9 , 0.5 , 0.05 , 0.8172
0.9 , 0.5 , 0.20 , 0.6236
0.7 , 0.5 , 0.05 , 0.9
0.8 , 0.9 , 0.01 , 0.9656
0.4 , 0.4 , 0.10 , 0.9098
0.6 , 0.2 , 0.10 , 0.865
0.5 , 0.2 , 0.20 , 0.794
0.6 , 0.4 , 0.01 , 0.9516
0.4 , 0.6 , 0.05 , 0.9646
0.3 , 0.1 , 0.05 , 0.953
0.3 , 0.2 , 0.20 , 0.8578
0.2 , 0.4 , 0.20 , 0.9034
0.5 , 0.3 , 0.10 , 0.8726
0.6 , 0.3 , 0.10 , 0.8614
0.2 , 0.1 , 0.01 , 0.9744
0.2 , 0.5 , 0.01 , 0.9816
0.3 , 0.2 , 0.10 , 0.9322
0.2 , 0.2 , 0.01 , 0.9806
0.5 , 0.7 , 0.05 , 0.9476
0.1 , 0.1 , 0.05 , 0.9724
0.7 , 0.1 , 0.05 , 0.9002
0.3 , 0.5 , 0.20 , 0.8824
0.4 , 0.5 , 0.20 , 0.8364
0.6 , 0.3 , 0.20 , 0.7868
0.1 , 0.3 , 0.01 , 0.9796
0.9 , 0.3 , 0.10 , 0.8264
0.6 , 0.8 , 0.05 , 0.9376
0.5 , 0.4 , 0.05 , 0.9224
0.2 , 0.2 , 0.10 , 0.954
0.6 , 0.6 , 0.20 , 0.783
0.1 , 0.5 , 0.20 , 0.9104
0.3 , 0.9 , 0.10 , 0.939
0.4 , 0.1 , 0.20 , 0.8042
0.6 , 0.1 , 0.01 , 0.9558
0.9 , 0.9 , 0.10 , 0.6464
0.2 , 0.3 , 0.20 , 0.8964
0.4 , 0.8 , 0.01 , 0.9756
0.3 , 0.4 , 0.20 , 0.8684
0.1 , 0.2 , 0.01 , 0.983
0.3 , 0.7 , 0.10 , 0.9452
0.5 , 0.5 , 0.10 , 0.8796
0.6 , 0.5 , 0.20 , 0.7922
0.7 , 0.3 , 0.10 , 0.8706
0.2 , 0.6 , 0.01 , 0.984
0.3 , 0.7 , 0.20 , 0.879
0.8 , 0.5 , 0.01 , 0.9304
0.9 , 0.9 , 0.20 , 0.4872
0.5 , 0.8 , 0.20 , 0.834
0.6 , 0.2 , 0.01 , 0.9482
0.3 , 0.3 , 0.05 , 0.9578
0.5 , 0.5 , 0.05 , 0.9364
0.5 , 0.1 , 0.05 , 0.9252
0.3 , 0.8 , 0.10 , 0.9386
0.2 , 0.8 , 0.05 , 0.9716
0.8 , 0.1 , 0.05 , 0.8894
0.4 , 0.9 , 0.05 , 0.9598
0.9 , 0.7 , 0.01 , 0.939
0.3 , 0.8 , 0.20 , 0.8704
0.8 , 0.7 , 0.10 , 0.7778
0.4 , 0.1 , 0.01 , 0.9702
0.9 , 0.6 , 0.05 , 0.7774
0.1 , 0.7 , 0.20 , 0.9046
0.8 , 0.3 , 0.01 , 0.937
0.2 , 0.5 , 0.20 , 0.9052
0.7 , 0.4 , 0.05 , 0.9032
0.2 , 0.8 , 0.20 , 0.8994
0.3 , 0.7 , 0.01 , 0.978
0.3 , 0.3 , 0.10 , 0.9344
0.2 , 0.7 , 0.05 , 0.9692
0.6 , 0.2 , 0.05 , 0.9076
0.5 , 0.9 , 0.10 , 0.9288
0.3 , 0.6 , 0.05 , 0.9668
0.6 , 0.9 , 0.05 , 0.954
0.2 , 0.7 , 0.20 , 0.9
0.9 , 0.7 , 0.20 , 0.5688
0.1 , 0.4 , 0.20 , 0.9138
0.9 , 0.8 , 0.10 , 0.6336
0.7 , 0.7 , 0.05 , 0.9084
0.5 , 0.4 , 0.10 , 0.8822
0.8 , 0.4 , 0.05 , 0.8768
0.2 , 0.2 , 0.20 , 0.8932
0.9 , 0.3 , 0.01 , 0.929
0.8 , 0.6 , 0.10 , 0.8076
0.4 , 0.6 , 0.20 , 0.8578
0.8 , 0.2 , 0.05 , 0.8938
0.8 , 0.1 , 0.01 , 0.9474
0.8 , 0.9 , 0.10 , 0.7842
0.4 , 0.3 , 0.01 , 0.9714
0.4 , 0.5 , 0.05 , 0.9542
0.1 , 0.2 , 0.20 , 0.9128
0.8 , 0.8 , 0.20 , 0.6404
0.4 , 0.9 , 0.20 , 0.863
0.5 , 0.5 , 0.01 , 0.9684
0.1 , 0.3 , 0.10 , 0.957
0.2 , 0.6 , 0.10 , 0.957
0.6 , 0.7 , 0.20 , 0.7804
0.9 , 0.7 , 0.05 , 0.7542
0.6 , 0.7 , 0.01 , 0.9678
0.8 , 0.1 , 0.10 , 0.8556
0.7 , 0.8 , 0.01 , 0.9654
0.8 , 0.7 , 0.01 , 0.944
0.5 , 0.3 , 0.05 , 0.9208
